Title,Company,Job ID,Location,Employment Type,Job Level,Experience,Category,Salary,Applications,Posted Date,Closing Date,Response Time,Roles & Responsibilities,URL
Software Engineer,ASMPT SINGAPORE PTE. LTD.,MCF-2026-0051111,2 YISHUN AVENUE 7 768924,Full Time,Fresh/entry level,2 years exp,"Engineering, Manufacturing, Precision Engineering","$4,000to$6,000Monthly",39 applications,Posted 09 Jan 2026,Closing on 08 Feb 2026,Typically Replies in 30 Days,"Job Description: We are seeking a Software Engineer to develop and optimize software solutions for advanced packaging semiconductor equipment. This role involves designing, implementing, and testing high-performance software to enhance automation, control, and data processing for semiconductor manufacturing. You will collaborate with cross-functional teams to drive innovation and improve system performance. Key Responsibilities: Design, develop, and maintain software for semiconductor equipment, including motion control, data acquisition, and process automation. Work closely with hardware and mechanical engineers to integrate software with precision mechanical and electronic components. Develop real-time and embedded systems software for high-speed, high-precision equipment. Perform software testing, debugging, and optimization to ensure reliability and performance. Implement machine learning, computer vision, and AI algorithms to improve semiconductor manufacturing processes (if applicable). Ensure software compliance with industry standards, cybersecurity protocols, and data integrity requirements. Participate in continuous improvement initiatives, focusing on software scalability, maintainability, and performance optimization. Maintain technical documentation and provide training/support to internal teams. Adhere to safety, quality, and regulatory standards in accordance with Singapore’s workplace regulations. Job Requirements: Min. Degree or higher in Computer Science, Software Engineering, Electrical Engineering, or a related field from a recognized institution. Experience in software development, preferably in the semiconductor or manufacturing industry. Proficiency in C++ for embedded systems, automation, or UI/UX development. Understanding of data analytics, AI/ML, or computer vision for semiconductor applications is a plus. Strong problem-solving skills and ability to work in a fast-paced environment. What we offer At ASMPT, we are committed to providing a supportive and rewarding work environment for our employees. Some of the key benefits you can expect include: Competitive salary and performance-based bonuses Company Transport Flexible work arrangements Comprehensive health and wellness benefits Opportunities for professional development and career advancement Collaborative and innovative company culture",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-asmpt-singapore-43804abc6ece2a774900b72fa483b117?source=MCF&event=RecommendedJobJD
Software Engineer,PRESTO LABS PTE. LTD.,MCF-2026-0052416,"CAPITASKY, 79 ROBINSON ROAD 068897",Full Time,Executive,2 years exp,Engineering,"$8,000to$15,000Monthly",79 applications,Posted 09 Jan 2026,Closing on 23 Jan 2026,,"Responsibilities Implement high-performance components for market data processing, order management, and strategy execution. Optimise latency, throughput, and reliability of all trading-critical services. Work closely with quantitative researchers and traders to productionize research models and algorithms. Define and enforce coding standards, architectural guidelines, and development best practices. Qualifications Minimum Qualifications Strong software engineering background with hands-on experience in real-time, low-latency systems. Proficiency in Linux systems programming, performance tuning, and concurrency/multithreading. Preferred Qualifications Advanced degree in Engineering, Mathematics, Computer Science, or a related field. Work conditions Highly competitive salary. Group Medical & Dental Insurance for all employees and their dependents. Meal Allowance during work hours.",https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-presto-labs-7fad37db8620a10b0e4f7f91585848c7?source=MCF&event=RecommendedJobJD
Software Engineer,PERSOL SINGAPORE PTE. LTD.,MCF-2026-0108906,Islandwide,"Contract, Full Time",Executive,5 years exp,Information Technology,"$5,000to$7,000Monthly",0 application,Posted 18 Jan 2026,Closing on 01 Feb 2026,Typically Replies in 30 Days,"Job Summary We are seeking a skilled Software Engineer with strong experience in automation, production systems, and data-driven solutions. The ideal candidate will have hands-on expertise in scripting, cloud platforms, ETL workflows, and incident automation, with a proven ability to build scalable, secure, and reliable systems in enterprise environments. Key Responsibilities Design, develop, and maintain automation solutions using Python, Java, Shell scripting, and Ansible. Build and support production-grade systems, including monitoring, alerting, and incident automation. Develop and optimize ETL workflows, job schedulers (Cron, Autosys), and data pipelines. Integrate systems using REST APIs, Kafka, and messaging platforms. Perform log analysis, root cause analysis, and system performance tuning. Collaborate with cross-functional teams to deliver reliable, secure, and scalable solutions. Maintain documentation, SOPs, and contribute to continuous improvement initiatives. Participate in CI/CD pipelines and automation strategies for faster, safer deployments. Required Skills & Experience 5+ years of experience as a Software Engineer / Automation Engineer Strong programming skills in Python, Java, SQL, and Shell scripting. Hands-on experience with Ansible, GitHub, CI/CD, and job scheduling tools (Cron, Autosys). Solid understanding of Linux/Unix environments, system monitoring, and production support. Experience with ETL, data modeling, APIs, Kafka, and message queues. Familiarity with cloud platforms (IBM Cloud, Azure, or equivalent). Experience with monitoring and observability tools such as Splunk, Dynatrace, ServiceNow, Power BI. Good to Have Experience in AI/ML, NLP, or computer vision projects. Knowledge of VMware, Citrix, and virtualization platforms. ITIL certification or experience working in ITSM frameworks. Background in banking, healthcare, or enterprise IT environments. Interested candidates, who wish to apply for the above position, please send in your resume ajay.sharma@persolapac.com We regret to inform that only shortlisted candidates will be contacted PERSOL Singapore Pte Ltd EA License No. 01C4394 EA Reg No: R24123179 (Ajay Sharma) By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOL Singapore Pte Ltd and its affiliates to collect, use and disclose your personal data for the purposes set out in the Privacy Policy available at https://www.persolsingapore.com/policies. You acknowledge that you have read, understood, and agree with the Privacy Policy.",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-persol-singapore-67650c1046d019653bad113fcda51d5c?source=MCF&event=Search
Software Engineer,AIRWALLEX (SINGAPORE) PTE. LTD.,MCF-2025-1971356,"CITY HOUSE, 36 ROBINSON ROAD 068877",Full Time,Executive,2 years exp,Information Technology,"$8,900to$16,000Monthly",96 applications,Posted 24 Dec 2025,Closing on 23 Jan 2026,Typically Replies in 30 Days,"About Airwallex Airwallex is the only unified payments and financial platform for global businesses. Powered by our unique combination of proprietary infrastructure and software, we empower over 200,000 businesses worldwide – including Brex, Rippling, Navan, Qantas, SHEIN and many more – with fully integrated solutions to manage everything from business accounts, payments, spend management and treasury, to embedded finance at a global scale. Proudly founded in Melbourne, we have a team of over 2,000 of the brightest and most innovative people in tech across 26 offices around the globe. Valued at US$8 billion and backed by world-leading investors including T. Rowe Price, Visa, Mastercard, Robinhood Ventures, Sequoia, Salesforce Ventures, DST Global, and Lone Pine Capital, Airwallex is leading the charge in building the global payments and financial platform of the future. If you’re ready to do the most ambitious work of your career, join us. What you’ll do We envision a future where our platform not only supports Airwallex internally but also serves as an easy-to-integrate product for our customers. By joining our team, you play a crucial role in realizing this vision, working alongside talented professionals to deliver business-critical features and solutions. Responsibilities: Lead the planning, design, and implementation of the Airwallex engineering system; Work with the business/product team to deeply understand the business needs, scenarios, and subsequent development directions, complete system analysis, architecture design, and core function development, and be able to grasp the design of complex systems to ensure the quality of complex architecture; Design and develop components based on the company's microservice framework; Introduce innovative technologies and innovative solutions for the team; Responsible for the construction and management of the technical team, and establish good internal coding standards. Who you are We're looking for people who meet the minimum qualifications for this role. The preferred qualifications are great to have, but are not mandatory. Minimum qualifications: More than 2 year of software development experience; Bachelor degree in computer science and related majors; Proficient in Java or other programming languages; Familiar with commonly used design patterns, with experience in design and development of large-scale distributed, high concurrency, high load, high availability systems; Master various common server technologies, which can optimize service response and data query, ensure various service quality, and solve the problems of high concurrency and high availability; Familiar with HTTP, TCP / IP protocol and REST specifications; Preferred qualifications: International clearing and settlement / foreign exchange transactions experiences; Experiences working with Cassandra / Redis / NoSQL / Hadoop; Experiences working with Kotlin / Scala / Python / Golang / R; Experiences working Docker Swarm / Kubernetes;",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-airwallex-a1eb8c568ca3b076b25f083d6134d6aa?source=MCF&event=SuggestedJob
Software developer,KRIS INFOTECH PTE. LTD.,MCF-2026-0027413,Islandwide,Full Time,Non-executive,7 years exp,Information Technology,"$9,100to$15,000Monthly",55 applications,Posted 06 Jan 2026,Closing on 20 Jan 2026,,"Job Description: Research, design, and develop computer and network software or specialised utility programs. Analyse user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software, enhance existing software capabilities, and develop and direct software testing and validation procedures. Work with computer hardware engineers to integrate hardware and software systems and develop specifications and performance requirements. Requirements: Candidates should have a minimum of seven years’ work experience as a Software Developer.",https://www.mycareersfuture.gov.sg/job/information-technology/software-developer-kris-infotech-28f3104ba4ebb4699ebb2010a7ae6bde?source=MCF&event=SuggestedJob
[GRIT] Software Testing Trainee (6 months),RAZER (ASIA-PACIFIC) PTE. LTD.,MCF-2025-1896387,"RAZER SEA HQ, 1 ONE-NORTH CRESCENT 138538",Full Time,Fresh/entry level,No exp required,Information Technology,"$1,800to$2,400Monthly",92 applications,Posted 12 Jan 2026,Closing on 11 Feb 2026,Typically Replies in 30 Days,"The Software Testing Trainee will be responsible for creating and executing test cases, as well as supporting the development and debugging of software. The trainee should have a solid software engineering foundation and be eager to contribute to the quality and reliability of our AI gaming products. Responsibilities Analyze and monitor the performance of Razer’s AI gaming software Develop and execute manual test cases Build and maintain automation scripts Assist in maintaining the quality and stability of Razer’s products Work closely with product, UI/UX, and development teams Learning Objectives The Software Testing Trainee will learn to collaborate with a multidisciplinary team of data scientists, data engineers, and machine learning engineers working on AI-driven gaming software. The trainee will gain hands-on experience across testing, development, and CI/CD phases within a real engineering environment. Lastly, the trainee will be exposed to manual, automation, and performance testing, automation tools such as Robot Framework and Jenkins, software tools including Jira and Confluence and Microsoft Office tools (Word, Excel) Qualifications Diploma or Undergraduate studies in Information Technology, Computer Science, or related fields Excellent verbal and written communication skills Strong problem-solving abilities and high attention to detail Creative, passionate, and innovative mindset with the ability to work independently Proactive, motivated, and a strong team player Programming background (preferably Python) SQL experience is a plus Manual or automation testing experience is a plus Gaming or game development experience is a plus",https://www.mycareersfuture.gov.sg/job/information-technology/grit-software-testing-trainee-razer-ca5decee16b572fca8a8715e6a8ba842?source=MCF&event=Search
"*NEW* Operations Executive (Office Hours, 5 Days) #HJG",RECRUIT EXPRESS PTE LTD,MCF-2026-0062138,"NGEE ANN CITY, 391A ORCHARD ROAD 238873","Temporary, Contract, Permanent, Full Time",Fresh/entry level,1 year exp,"Admin / Secretarial, General Management, General Work, Healthcare / Pharmaceutical, Medical / Therapy Services","$3,500to$7,000Monthly",38 applications,Posted 11 Jan 2026,Closing on 10 Feb 2026,Typically Replies in 30 Days,"Job Responsibilities Support the Operations team in project management and administrative tasks for clinical departments. Assist in planning, financial and budgetary assessment, and execution of assigned projects. Coordinate with clinical, nursing, facilities, and other operational stakeholders to ensure smooth project progress. Prepare timely status updates and reports for ongoing projects. Provide secretariat support for committees related to assigned projects. Job Requirements Bachelor’s Degree in any discipline Basic knowledge of Microsoft Office (Word, Excel, PowerPoint) Able to start work immediately If you are interested in this position, do kindly drop your most updated resume to joshua.gan@recruitexpress.com.sg and leonleong@recruitexpress.com.sg (Attn: Operations Executive) Leon Leong De Cong R1551708 Recruit Express Pte Ltd (Healthcare & Lifesciences Division) EA License: 99C4599",https://www.mycareersfuture.gov.sg/job/admin/new-operations-executive-hjg-recruit-express-b94a96dea2a4b9baa75f870ca6a1584e?source=MCF&event=SuggestedJob
Operations /  Implementation Specialist,CENTRAL PROVIDENT FUND BOARD,MCF-2025-1769239,"TOWER B NOVENA SQUARE, 238B THOMSON ROAD 307685","Contract, Full Time",Professional,No exp required,"Admin / Secretarial, Consulting, Customer Service, General Management, Information Technology","$4,600to$7,200Monthly",347 applications,Posted 07 Jan 2026,Closing on 06 Feb 2026,Typically Replies in 30 Days,"At #TeamCPF, you’re not just joining a team; you are embracing a culture of excellence, collaboration, and meaningful impact. You will play a pivotal role in empowering over 4 million members to secure their retirement, healthcare, housing needs and better navigate life’s uncertainties. We thrive on sharp minds and insightful decisions. Your ability to analyse and think critically isn't just valued; it's essential. Every choice you make contributes to our collective success. Collaboration is our way of life. We believe in the power of effective partnerships and seamless communications across teams. Together, we amplify each other’s strengths and achieve remarkable results. Our learning never stops. We encourage your inquisitiveness and courage to embrace new challenges head-on. Your agility, readiness to challenge conventions, embrace of data-driven strategies, dedication to learning and applying new skills fuels our innovation and progress. At the core of everything we do lies a genuine desire to make a difference. We serve our community and support each other with compassion, empathy, and unwavering dedications. Every action we take is guided by a deep sense of purpose and a commitment to those we serve. Join us at #TeamCPF! Together, let's redefine possibilities and leave a legacy that echoes for generations. What you will be working on As an Operations/Implementation Specialist, you will play a pivotal role in driving operational efficiency, optimising processes, and enhancing the overall performance of our organisation. Your expertise in process review, automation, team management, operations-technology integration, and product management will be critical to the successful execution of our strategic initiatives. In this role, you will: 1. Process Review and Optimisation: a. Analyse existing operational processes to identify bottlenecks, inefficiencies, and areas for improvement. b. Collaborate with cross-functional teams to design and implement streamlined processes that enhance productivity and reduce operational costs. c. Continuously monitor and measure the effectiveness of implemented process improvements, making necessary adjustments as needed. 2. Automation and Technology Integration: a. Identify opportunities for automation and technology integration across various operational functions. b. Work closely with the IT and technology teams to develop and implement automated solutions that enhance efficiency and accuracy. c. Champion the adoption of new tools and technologies to streamline operations and improve decision-making. 3. Team Management and Leadership a. Lead and manage a team of operations professionals, providing mentorship, guidance, and performance feedback. b. Foster a collaborative and positive team environment that encourages innovation and continuous learning. c. Delegate tasks and responsibilities effectively to ensure optimal team performance and project outcomes. 4. Product Management a. Collaborate with the product development team to understand product features, functionalities, and user requirements. b. Contribute insights from an operations perspective to influence product design and development, ensuring seamless implementation and user satisfaction. c. Assist in defining product roadmaps, release schedules, and feature prioritisation based on operational considerations. What we are looking for We value the diverse talents and experiences that each individual brings to the table. While mastery of every requirement may not be necessary, familiarity and expertise in some of the following areas will position you for success within this team. Demonstrate leadership abilities either through academic, extracurricular, or work experiences. Demonstrate willingness to learn, embrace change, adapt, and thrive in a dynamic environment. Ability to generate creative solutions proactively, think beyond conventional boundaries, and actively drive positive change. Ability to contribute to a positive work culture, foster collaboration and build trust among team members. The seniority of appointment and actual corporate job title will commensurate with individual work experiences. We welcome fresh graduates in any discipline and candidates without working experience to apply. To help us better understand your academic background, please provide an official or unofficial copy of your academic transcript, as well as any other relevant documents or certificates that you believe would support your application. Position is on 2-year full time contract directly under the payroll of CPF Board with potential for emplacement into permanent position. What you can expect Being part of #TeamCPF means embarking on a challenging and rewarding career in a progressive workplace that values productivity and growth. Here’s what awaits you: Opportunities to engage in a mix of formal and informal training, keeping your skills sharp in our ever-evolving technological landscape. Promotion opportunities based on your capability and on-the-job performance. A vibrant community of like-minded and friendly colleagues, where collaboration and creativity thrive. A hybrid work model that offers flexibility for remote work, subject to exigencies of service. Flexible dress code that empowers you to choose your appropriate outfit for the day. A comprehensive rewards package that includes annual leave, pro-family leave, medical and dental benefits, and access to recreational activities.",https://www.mycareersfuture.gov.sg/job/admin/operations-implementation-specialist-central-provident-fund-board-6c75b66ebd13e795627b0ff03ef34364?source=MCF&event=SuggestedJob
"Senior Software Engineer, GenAI Platforms",SINGAPORE EXCHANGE LIMITED,MCF-2026-0045280,"SGX CENTRE I, 2 SHENTON WAY 068804",Permanent,Professional,5 years exp,"Banking and Finance, Information Technology","$15,000to$23,000Monthly",74 applications,Posted 08 Jan 2026,Closing on 29 Jan 2026,Typically Replies in 30 Days,"Role Summary: We are looking for an experienced Software Engineer to manage the design, development, delivery and maintenance of business applications and systems. The individual will manage and mentor junior engineers to ensure project deliveries meet the desired quality and standards. Role Responsibilities: Overseeing project strategies and processes Coordinate tasks among team members Developing guidelines for software testing Designing product upgrades and improvements Analyzing data and tracking metrics Maintaining technical documentation Role Requirements: Bachelor’s degree in a relevant field such as Computer Science or Information Technology Research and testing capabilities Data analysis Tracking and reporting project progress Familiarity with job tools and software Collaborating within a team Communicating between team members and engineering leadership Analytical thinking Strong attention to details",https://www.mycareersfuture.gov.sg/job/banking-finance/senior-software-engineer-genai-platforms-singapore-exchange-e544538abbccdc3ae9bbb6c934b8e72e?source=MCF&event=SuggestedJob
"Senior Manager, HR Technology Services",COACH OPERATIONS SINGAPORE PTE. LTD.,MCF-2026-0070366,"ROBINSON 77, 77 ROBINSON ROAD 068896",Permanent,Middle Management,10 years exp,"Human Resources, Information Technology","$9,000to$13,000Monthly",55 applications,Posted 12 Jan 2026,Closing on 11 Feb 2026,Typically Replies in 30 Days,"Make a Lasting Impression. Join Tapestry, the first New York-based house of modern luxury lifestyle brands. A successful career at Tapestry is built on hard work, determination and a genuine passion for what you do. At Tapestry, you are part of a global house of brands that is built around our shared values of optimism, innovation and inclusivity. We believe anyone from anywhere can have the best idea, and with creativity and perseverance, anything is possible. Whether it be Coach or Kate Spade, each of our great brands around the world helps people express themselves in their own unique ways. The Senior Manager, HR Technology (APAC) represents the global HR Technology & Solutions (HRTS) team across the Asia Pacific region. This role ensures that global HR technology strategies, platforms, and governance models are effectively executed and supported locally, while capturing regional nuances, compliance needs, and business priorities to inform global decision-making. The role spans multiple markets across Asia Pacific, including Mainland China, Hong Kong, Taiwan, Japan, Korea, and Australia/New Zealand. The position has a strong emphasis on Workforce Management (Time & Attendance and Scheduling), with additional responsibilities supporting the global Workday HCM platform and in-region HR technology solutions, including Recruiting and Benefits systems. The ideal candidate is hands-on, collaborative and combines technical depth and operational excellence with a global mindset. Key Responsibilities Serve as the strategic bridge between global HR Technology leadership in New York and regional HR, IT, and Operations teams. Represent the global HR Technology & Solutions organization in APAC to drive alignment, transparency, and shared ownership of the HR tech roadmap and outcomes. Partner with global HRTS colleagues to support the global Workday HCM platform, contributing to governance forums, roadmap discussions, enhancement prioritization, and release testing. Oversee and support Workforce Management systems across APAC (Time & Attendance, Scheduling), ensuring effective operations, compliance, and alignment with global standards. Manage and support region-specific HR technology platforms, including Recruiting, Benefits and Payroll systems, ensuring integration and data consistency with the global ecosystem. Oversee the planning and delivery of HR technology projects, ensuring alignment with business objectives, effective resource management, and strong coordination across global and regional teams from requirements through deployment. Capture and communicate regional needs, market nuances, and regulatory requirements to inform global system design and strategy. Collaborate with HR and IT partners to implement technology enhancements, troubleshoot issues and drive process improvements. Coordinate and support testing, release management, and change enablement activities for systems impacting the APAC region. Partner with vendors and managed service providers to ensure consistent, high-quality service delivery. Contribute to global governance and compliance activities, ensuring adherence to platform standards, architecture, and SOX controls. Promote continuous improvement and value creation through analytics, process optimization, and adoption of emerging technologies, including the adoption and integration of AI and ML technologies. Lead and foster a collaborative, high-performing team environment, managing direct reports and vendor resources to ensure alignment, accountability, and consistent service delivery across regions. Qualifications 8–10 years of broad experience across various HR technologies, with proven expertise in Workforce Management (Time & Attendance and Scheduling) and Recruiting processes and tools. Deep understanding of HR operations, compliance, and data privacy requirements across key APAC markets. Ability to operate within a global, matrixed organization, balancing regional context with global direction. Demonstrated ability to lead, develop, and motivate direct reports, fostering professional growth and high performance within a regional or global team structure. Experience managing vendor and/or managed service provider relationships. Strong analytical, communication, and stakeholder management skills. Able to travel regularly within APAC markets and occasionally to New York headquarters. Preferred Skills Experience with Workday HCM, UKG Pro WFM / Kronos, Workforce Software Workforce Management Understanding of integration management, data governance, and security frameworks. Project management experience, including familiarity with Agile or iterative delivery methodologies. Strong cross-cultural communication and collaboration skills, including fluency in both Mandarin and English to support effective regional communication and partnership. Passion for technology innovation, operational excellence, and continuous improvement.",https://www.mycareersfuture.gov.sg/job/human-resources/senior-manager-hr-technology-services-coach-operations-singapore-fc9aff5d291bbc331049d49a5165b5a0?source=MCF&event=SuggestedJob
Software Tester (AMK),MAESTRO HUMAN RESOURCE PTE. LTD.,MCF-2026-0044658,Islandwide,"Permanent, Full Time",Executive,2 years exp,Information Technology,"$4,000to$5,500Monthly",58 applications,Posted 08 Jan 2026,Closing on 07 Feb 2026,Typically Replies in 30 Days,At least 2 years of experience performing software testing. Independent and able to interact with software engineer to draft out the acceptance test procedures. Able to translate acceptance test procedures into User manual. Minimum Diploma or Degree in Engineering field. 5 day week @ AMK area Maestro HR damien lee tian hong R1106726 16C8462,https://www.mycareersfuture.gov.sg/job/information-technology/software-tester-maestro-human-resource-c0e1cd604618e5f3368cc9c6dc5ac6b1?source=MCF&event=SuggestedJob
Software Developers (Many positions /  Permanent),TALENTSIS PTE. LTD.,MCF-2026-0003156,Islandwide,"Permanent, Full Time",Fresh/entry level,1 year exp,Information Technology,"$4,900to$6,800Monthly",56 applications,Posted 02 Jan 2026,Closing on 01 Feb 2026,Typically Replies in 30 Days,"💻 Software Engineer (Fullstack) Location: Singapore Employment Type: Full-Time 🛠️ Job Description Develop and enhance fullstack applications with support from senior engineers Build and integrate secure RESTful APIs Write clean, maintainable code with secure coding practices Support DevSecOps tasks like code scanning and automated testing Deploy and maintain apps on cloud platforms (AWS or Azure) Participate in Agile ceremonies (stand-ups, sprint planning, retros) Work on systems that integrate with Singpass, Corppass, and other govtech platforms ✅ Requirements 0–3 years of fullstack development experience Proficient in at least one backend language and one frontend framework Familiar with RESTful API development and integration Basic knowledge of cloud platforms and secure coding Exposure to Agile and DevSecOps practices is a plus Passionate about learning and contributing to public sector projects Your recruiter for this job: 📱 WhatsApp Chally @ 6304 8675 for a quicker response 🔗 Connect with me on LinkedIn 📧 Chally | chally@talentsis.com.sg Talentsis Pte Ltd | EA No: 20C0312",https://www.mycareersfuture.gov.sg/job/information-technology/software-developers-talentsis-36575c0e04d4fc7d954ebaa398ccffa0?source=MCF&event=SuggestedJob
Software Engineer - Sr. Consultant level,VISA WORLDWIDE PTE. LIMITED,MCF-2026-0025571,"SINGAPORE POST CENTRE, 10 EUNOS ROAD 8 408600","Permanent, Full Time",Professional,8 years exp,Information Technology,"$11,000to$17,000Monthly",50 applications,Posted 06 Jan 2026,Closing on 20 Jan 2026,Typically Replies in 30 Days,"Company Description Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely between consumers, merchants, financial institutions, and government entities in more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable, and secure payments network, enabling individuals, businesses, and economies to thrive while driven by a common purpose – to uplift everyone, everywhere by being the best way to pay and be paid. Make an impact with a purpose-driven industry leader. Join us today and experience Life at Visa. Job Description Visa’s Technology Organization is a community of problem solvers and innovators reshaping the future of commerce. We operate the world’s most sophisticated processing networks capable of handling more than 65k secure transactions a second across 80M merchants, 15k Financial Institutions, and billions of everyday people. While working with us you’ll get to work on complex distributed systems and solve massive scale problems centered on new payment flows, business and data solutions, cyber security, and B2C platforms. The Opportunity: We are looking for Versatile, curious, and energetic Software Engineers who embrace solving complex challenges on a global scale. As a Visa Software Engineer, you will be an integral part of a multi-functional development team inventing, designing, building, and testing software products that reach a truly global customer base. While building components of powerful payment technology, you will get to see your efforts shaping the digital future of monetary transactions. The Work itself: Design code and systems that touch 40% of the world population while influencing Visa’s internal standards for scalability, security, and reusability Collaborate multi-functionally to create design artifacts and develop best-in-class software solutions for multiple Visa technical offerings Actively contribute to product quality improvements, valuable service technology, and new business flows in diverse agile squads Develop robust and scalable products intended for a myriad of customers including end-user merchants, b2b, and business to government solutions. Leverage innovative technologies to build the next generation of Payment Services, Transaction Platforms, Real-Time Payments, and Buy Now Pay Later Technology Opportunities to make a difference on a global or local scale through mentorship and continued learning opportunities Essential Functions: Works directly with product owners to gather and refine requirements across products, adding and taking into account existing tools and solutions across the organization. Develops and designs advanced architect solutions that are robust and scalable, considering integrations with other solutions across the internal technical ecosystem. Provides domain expertise on the development of technical documentation of solutions and contributes to standard processes in technical documentation as needed. Plays a key role in the development and delivery of new features across products from end-to-end. The Skills You Bring: Energy and Experience: A growth mindset that is curious and passionate about technologies and enjoys challenging projects on a global scale Challenge the Status Quo: Comfort in pushing the boundaries, ‘hacking’ beyond traditional solutions Language Expertise: Expertise in one or more general development languages (e.g., Java, C#, C++) Builder: Experience building and deploying modern services and web applications with quality and scalability Learner: Constant drive to learn new technologies such as Angular, React, Kubernetes, Docker, etc. Partnership: Experience collaborating with Product, Test, Dev-ops, and Agile/Scrum teams. We do not expect that any single candidate would fulfill all of these characteristics. For instance, we have exciting team members who are really focused on building scalable systems but didn’t work with payments technology or web applications before joining Visa. This is a hybrid position. Expectation of days in the office will be confirmed by your Hiring Manager. Qualifications Basic Qualifications 8+ years of relevant work experience with a Bachelor’s Degree or at least 5 years of experience with an Advanced Degree (e.g. Masters, MBA, JD, MD) or 2 years of work experience with a PhD, OR 11+ years of relevant work experience. Preferred Qualifications 9 or more years of relevant work experience with a Bachelor's degree or 7 or more relevant years of experience with an Advanced Degree (e.g. Masters, MBA, JD, MD) or 3 or more years of experience with a PhD Proven experience designing and developing backend applications for high-performance, distributed systems. Solid understanding of blockchain technologies, DeFi protocols, consensus protocols and security schemes. Strong proficiency in developing smart contracts for EVM-compatible blockchains, strong knowledge of ERC standards and EIPs for building scalable dApps. Proven expertise developing software within the Secure Software Development Life Cycle (SSDLC) model. Strong proficiency in object-oriented programming languages (Java) and scripting languages (Javascript, typescript) Solid understanding of data structures and optimizing storage for on-chain data Proven experience scaling dApps for high throughput, low cost and consistency Experience with test-driven development (TDD), unit testing, and performance testing. Experience with CI/CD tools. Highly motivated and quick to learn new technologies to tackle complex challenges. Background in payments and financial services is a plus. Strong interpersonal, facilitation, and leadership abilities, with effective written and verbal communication skills. Demonstrated ability to present complex concepts clearly and succinctly. Additional Information Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.",https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-sr-consultant-level-visa-worldwide-d49f3135a772eb35d762fdcaf4d40fe1?source=MCF&event=SuggestedJob
IT System Engineer (Permanent),TALENTSIS PTE. LTD.,MCF-2026-0014369,Islandwide,"Permanent, Full Time",Middle Management,2 years exp,Information Technology,"$4,500to$6,000Monthly",39 applications,Posted 05 Jan 2026,Closing on 04 Feb 2026,Typically Replies in 30 Days,"Responsibilities: ·Plan, execute, monitor and assist in the installation and ongoing support and maintenance of all hardware, software and networks in project delivery ·Conduct root cause analysis & implement pro-active measures ·Responsible for supporting operational systems satisfying contractual Service Level Agreement ·Perform and manage routine preventive maintenance and operational activities promptly and effectively ·Perform troubleshooting and fault rectification ·Provide up-to-date project documentation and reports ·Diagnose and rectify technical issues ·Perform standby duties if required Requirements: ·Experience in Windows server OS, Unix/Linux OS & virtualization environment (VMware, HyperV etc.) ·Strong troubleshooting skills and analytical mind with problem-solving aptitude · Excellent written and verbal communication to convey technical ideas to both technical and non-technical audiences and contribute within a team environment ·Pro-active, dynamic and with good analytical/conceptual thinking ·Able to work independently as well as in a team and good interpersonal skills ·Good Working knowledge with VPN, firewall appliances would be an advantage ·Good working knowledge with routers, switches would be an advantage ·Good working knowledge in hardware like servers, storage area networks (SAN), network-attached storage (NAS) devices •Experience in hardening of OS, system and network equipment •Experience in Patch Management •Good Knowledge of IT Infra services like Active Directory, DHCP, DNS, Exchange/Mail Service, Database, Web or App Server etc. ·Entry level candidates are welcome. Candidates with more/ complexity of experience will be considered for a senior role. Only shortlisted candidates will be notified. Please email a copy of your detailed resume to bianca@talentsis.com.sg for immediate processing. (EA Reg No: 20C0312)",https://www.mycareersfuture.gov.sg/job/information-technology/system-engineer-talentsis-fa5ed8b880c3fa7874ed6073de278aa7?source=MCF&event=SuggestedJob
