title,company,location,salary,rating,description,url
Full Stack Engineer Intern,Asurion,Singapore,$6K - $12K (Employer provided),3.3,"Are you looking for some real-world experience as an intern for 3-6 months? Do you want to have exposure to a fast paced, global company and learn from the best? At Asurion, our teams work collaboratively to innovate and serve customers while ensuring employees succeed and feel valued. If you love building amazing user centric web apps, rapid prototyping, collaborating with researchers and technology experts and create new product ideas, join us as an Intern! Visit https://www.asurion.com.sg/ to know more Who is the Full Stack Engineer Intern? Currently pursuing a bachelor's in computer science with Software Development specialization in a recognized university in Singapore, as a Full Stack Engineer Intern at Asurion you will have access to unparalleled enterprise resources to grow and develop both personally and professionally. We will give you opportunities to collaborate with technology, product and business experts who understand user behaviors and real-world use cases. You will effectively contribute independently and as part of a team and will stay up to date on emerging web development technologies. As a Full Stack Engineer Intern, here's what you can expect to do:Explore and help choose appropriate frameworks and translate UI/UX design wireframes to actual code that will produce visual elements of the applicationBuild Gen AI-based web applications for multiple domains like customer solutions, supply chain, and financeBuild scalable full-stack applications using cloud platforms like AWSConduct thorough testing of user interfaces to ensure all designs render correctly and systems function properly, incorporating feedback from actual potential users as well as members of the design teamWhile contributing independently, collaborate with others to complete a task Learning Outcomes:Strong understanding of front-end development frameworks and design libraries like React JS, Typescript, Redux, Next JS, Django, Tailwind CSS, Material IO, Material UI, Python, FastAPIBuild seamless web applications using cutting-edge technologies to achieve mobile-based interface featuresExposure to enterprise cloud platfirms like AWS, Google Cloud, Econfluence, FigmaIntermediate understanding of prompt engineering and its principles How we can take care of you:Join a non-hierarchical, fast paced, and inclusive team – we foster a work culture where employees are valued, regardless of their background, level or position.Be a part of something bigger – we are constantly evolving within a startup framework, cultivated, and supported by the backing of a large global organization.Connect with the local team through team building, town halls and group trainingGive back to the community through the partnership with our local charity partners","https://www.glassdoor.sg/job-listing/full-stack-engineer-intern-asurion-JV_IC3235921_KO0,26_KE27,34.htm?jl=1009919546582&cs=1_15f9ae2d&s=58&t=SR&pos=118&src=GD_JOB_AD&guid=0000019be4a3e4a19f6989110bb4d9e6&jobListingId=1009919546582&ea=1&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia7p7niv91800-f38e495e5f7554c6&cb=1769067505222&ctt=1769067542374"
"Intern, Software Development",Bosch Group,Singapore,$300K (Employer provided),4.0,"Company Description About Bosch Group The Bosch Group is a leading global supplier of technology and services. It employs roughly 418,000 associates worldwide. The company generated sales of 90.3 billion euros in 2024. Its operations are divided into four business sectors: Mobility, Industrial Technology, Consumer Goods, and Energy and Building Technology. With technology that is ""Invented for life,"" Bosch wants to help improve quality of life and conserve natural resources. The Bosch Group comprises Robert Bosch GmbH and its roughly 490 subsidiary and regional companies in over 60 countries. At 136 locations across the globe, Bosch employs some 87,000 associates in research and development. About Bosch Energy and Building Solutions Bosch Energy and Building Solutions is a division of Bosch Building Technologies. As a system integrator, it supports clients in Singapore by providing consulting, installation, and service. With a team of over 90 associates and approximately 200 customers, Bosch Energy and Building Solutions in Singapore is recognized as one of the leading installation contractors. In addition to developing, implementing, and servicing integrated building solutions, the team also delivers exceptional care to customers across a diverse range of industries. Job Description Role Overview We are seeking an enthusiastic Software Developer Intern who is currently pursuing a degree or diploma in Computer Science or a related field to join Bosch for a fulfilling internship opportunity! This internship will provide valuable hands-on experience in a corporate environment, allowing you to contribute to real projects while learning from experienced professional. As an Intern, Software Development, you will support the following key tasks in collaboration with experience team members. What you will do (Key Responsibilities) Assist in the development of software solutions using modern technologies, including performing testing and preparing documentation. Collaborate with development and testing teams to understand requirements and contribute to coding, testing, and documentation efforts. Learn and apply best practices in software engineering, including coding standards and design principles. Participate in debugging and troubleshooting activities under guidance. Gain exposure to real-world projects and contribute to product releases. Contribute to continuous improvement, automation, or digitalization initiatives Qualifications What We're Looking For (Qualifications & Skills) Students pursuing a second year Degree or Diploma in Computer Science or related field. Interest in learning and working with the following technologies and concepts: Programming & Frameworks: C#.NET, WPF, .NET Framework 4.5 or above, .NET Core, ASP.NET, Web API Database: SQL, SQL Server Design Principles: SOLID Principles, Object-Oriented Programming (OOP) Web Development: React.js / Vue.js, TypeScript (Good to know: Redux, RTK, React Query, Axios, Tailwind CSS / Material UI) APIs & Security: RESTful API, OAuth2/JWT, Swagger ORM Tools: Entity Framework / Dapper Version Control & Tools: TFS Strong willingness to learn and adapt to new technologies. Good problem-solving skills and attention to detail. Ability to work collaboratively in a team environment. Good communication skills and a strong team player. Additional Information Why Intern With Us? We don't just offer jobs—we build careers. At Bosch, you'll benefit from: Real-world experience apply classroom knowledge to practical, real-life work scenarios Skill-development build technical and soft skills while being part of the team ""in-action"" Opportunities to network and learn from industry professionals Inclusive culture built on respect, collaboration, and empowerment Next Steps Our recruitment process typically includes: Application screening Interview(s) with Hiring Manager, Business Leaders and HR Ready to grow your career with Bosch? Apply Now!","https://www.glassdoor.sg/job-listing/intern-software-development-bosch-group-JV_IC3235921_KO0,27_KE28,39.htm?jl=1009973472817&cs=1_69eb59ee&s=58&t=SR&pos=119&src=GD_JOB_AD&guid=0000019be4a3e4a19f6989110bb4d9e6&jobListingId=1009973472817&ea=1&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia7p7niv91800-a1ea49e3542c000d&cb=1769067505222&ctt=1769067545255"
Software Engineer Intern (Summer 2026),Plaud,Singapore,$83K - $149K (Glassdoor Est.),3.0,"About Plaud Inc. Plaud is building the world's most trusted AI work companion for professionals to elevate productivity and performance through note-taking solutions, loved by over 1,500,000 users worldwide since 2023. With a mission to amplify human intelligence, Plaud is building the next-generation intelligence infrastructure and interfaces to capture, extract, and utilize what you say, hear, see, and think. Plaud Inc. is a Delaware-incorporated, San Francisco-based company pushing the boundary of human–AI intelligence through a hardware–software combination. With ISO 27001, ISO 27701, GDPR, SOC 2, HIPAA, and EN 18031 compliance, Plaud is committed to the highest standards of data security and privacy protection. To learn more about Plaud, please visit https://www.plaud.ai and follow along on Instagram, X, Facebook, LinkedIn, and YouTube Why You Should Join Us Plaud is building the next generation intelligence infrastructure and interfaces to capture, extract, and utilize intelligence from what people say, hear, see, and think. Plaud is a bootstrapped, skyrocketing, profitable company with a $250M revenue run rate achieved in just three years. Define the next-gen paradigm for human-AI interaction. Gain exposure to cutting-edge AI for Pro tools and play a direct role in our global expansion. Work with passionate teammates who value innovation, collaboration, and customer success. Grow your career in a culture that champions continuous learning and fast career development. Market-competitive compensation, global exposure, and a vibrant, creativity-fueled work atmosphere. What you will do 3 to 6 months internship program (commit at least 3 days per week) Work on production-level systems that directly impact real users Design, build, test, and deploy features across the stack (frontend, backend, or infrastructure depending on your strengths) Collaborate closely with product managers and designers to turn requirements into scalable solutions Write clean, maintainable, and well-tested code Participate in code reviews and technical discussions with senior engineers What We're Looking For Strong foundation in computer science fundamentals (data structures, algorithms, systems) Proficiency in at least one programming language (e.g. Python, JavaScript/TypeScript, Java, Go, or C++) Familiarity with web development, APIs, or distributed systems is a plus Ability to learn fast, ask good questions, and take ownership Comfortable working in a fast-moving, ambiguous environment What You'll Gain Hands-on experience building real-world, high-impact systems Mentorship from experienced engineers Exposure to modern engineering practices and architecture Opportunity for return offer / full-time conversion (subject to performance)","https://www.glassdoor.sg/job-listing/software-engineer-intern-summer-2026-plaud-JV_IC3235921_KO0,36_KE37,42.htm?jl=1009998525860&cs=1_27ce6525&s=58&t=SR&pos=120&src=GD_JOB_AD&guid=0000019be4a3e4a19f6989110bb4d9e6&jobListingId=1009998525860&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia7p7niv91800-5960929184548b03&cb=1769067505222&ctt=1769067552300"
"Software Engineer, University Graduate",Google,Singapore,$92K - $137K (Glassdoor Est.),4.4,"Google will be prioritizing applicants who have a current right to work in Singapore, and do not require Google's sponsorship of a visa. Minimum qualifications: Bachelor's degree or equivalent practical experience. Experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript). Experience working with data structures or algorithms during coursework/projects, research, internships, or practical experience in school or work (e.g., open-source coding). Preferred qualifications: Master's degree in Computer Science, or a related technical field. Experience working with one or more of the following: web or mobile application development, Unix/Linux environments, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, or security software development. Experience developing accessible technologies. Interest and ability to learn other coding languages as needed. About the job Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google's needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward. Responsibilities Design, develop, test, deploy, maintain, and improve software. Manage project priorities, deadlines, and deliverables. Take on tasks as requested, following through to completion despite roadblocks or distractions. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.","https://www.glassdoor.sg/job-listing/software-engineer-university-graduate-google-JV_IC3235921_KO0,37_KE38,44.htm?jl=1009937238982&cs=1_ff54432e&s=58&t=SR&pos=121&src=GD_JOB_AD&guid=0000019be4a3e4a19f6989110bb4d9e6&jobListingId=1009937238982&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia7p7niv91800-1ef9adccf1906a7c&cb=1769067505222&ctt=1769067548627"
Software Engineer Intern,Simular,Singapore,$200K - $700K (Employer provided),,"Where multiple locations are listed for this role, the position may be based in any of those locations, with priority determined according to the order of listing. What you'll do As a Software Engineer Intern at Simular, you'll work closely with our founding team to help bring AI agents into the real world. Depending on your skills and interests, you may: Contribute to core product development, building new features and improving performance. Work with the infrastructure team on scaling systems and virtual machines. Support Forward Deployed Engineering projects, writing scripts and integrations to adapt agents to customer needs. Collaborate with designers and researchers to prototype new ideas and test them with users. Gain hands-on experience in a fast-moving startup where every line of code can make an impact. You might be a fit if Currently pursuing a Bachelor's or Master's degree in Computer Science, Computer Engineering, Information Systems, or a related technical field. Solid programming skills in Python, JavaScript/TypeScript, or a similar language. Strong CS fundamentals and problem-solving ability; competitive programming background (e.g. ACM ICPC, IOI, Google Code Jam, or equivalent contests) is highly preferred. Willingness to dive into different parts of the stack, from frontend to backend to deployment scripts. Curiosity, adaptability, and eagerness to learn in an ambiguous, fast-paced environment. Strong communication and collaboration skills. Bonus: prior internship or project experience in AI, agents, or productivity tools.","https://www.glassdoor.sg/job-listing/software-engineer-intern-simular-JV_IC3235921_KO0,24_KE25,32.htm?jl=1009905768183&cs=1_1c5d920e&s=58&t=SR&pos=122&src=GD_JOB_AD&guid=0000019be4a3e4a19f6989110bb4d9e6&jobListingId=1009905768183&ea=1&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia7p7niv91800-7529b6eee02161e4&cb=1769067505222&ctt=1769067556000"
Software Engineer – Frontend / Backend / Fullstack,Padlet,Singapore,$92K - $115K (Glassdoor Est.),4.2,"Padlet is building software for a good education. A good education is one that inspires curiosity, creativity, and community. Our software enables that through visual content creation and collaboration in millions of classrooms worldwide. Exceptional products are exceptional in all dimensions that matter. Take the Dyson vacuum cleaner. Not only is it a good at vacuuming, it's beautiful, feels good in the hand, is portable, and is easy to use. We are looking for Fullstack Engineers to build exceptional software products for a billion people. Responsibilities Owning and implementing new features that touch multiple layers of the tech stack. E.g. creating a beautiful search experience. Creating delight. E.g. through animations and micro UI. Making the web apps faster and more reliable. E.g. reducing javascript payload or making network requests more resilient. Improving how we work. E.g. improving our component library or tools we use to translate the web app into 40+ languages. Qualifications At some point in your life, someone has told you: ""you write good code."" You know how to copy-paste code from Stack Overflow. Bonus: you have a good sense of humor. About Padlet Vision: Every child in the world will grow up with Mickey Mouse and Padlet. Product: We are making the default way of collecting and sharing thoughts on the Internet. People love the product. Impact: We have 40 million users, making Padlet one of the most used apps on the planet. Money: We are venture backed AND fiscally responsible. We are built to last one hundred years. Badassery: We are only 60 odd people. That's over half a million active users per person. Tech stack Mobile apps: React Native (with Swift and Java where necessary.) Backend: Ruby (Rails), Typescript, Elixir (Phoenix), and Python. Web: VueJS, Tailwind. Storage: Postgres, Redis, Elasticsearch, Firestore, and Snowflake. Joys of programming at Padlet We have very few meetings. We value keeping you in flow. A lot of people use Padlet. We have to solve interesting concurrency problems. Our users are in over 200 countries, using all kinds of devices and connections, and speaking over 40 languages. We have to solve interesting internationalization problems. We process a lot of data real fast. We have to solve interesting scale problems. We try to solve problems creatively instead of just throwing money at them. We are engineers! We thrive in constraints, not in the absence of them. We ship often. We value beautiful code. Sorrows of programming at Padlet We grew pretty fast last year and our processes are still catching up. E.g. we don't have 100% code coverage yet. Our deployment process isn't as painless as it could be. This sometimes leads to spending time on things that aren't the most fun. We're working on it! Our project management process could be better. This sometimes leads to re-speccing in the middle of development, getting in the way of programming flow. We're working on it! Some people you'd be working with Brian Koh: Only human we know who has impulsive urges to exercise. When he does, he doesn't care about outfits. We've seen him running in boots, tight jeans, and leather jackets. Exceptional engineer and even better mentor. Chee Kit Chong: Chee Kit is responsible for at least 10% of Japan's GDP. He's there like every other week. Soon, they'd have to start reclaiming land so he has new things to see. Mobile engineer extraordinaire. The office We have a beautiful office in the historic Bukit Pasoh Neighbourhood. 1 minute walk from Outram Park MRT. We have a lovely balcony. It's really, truly lovely. Designed to be a space to inspire creativity and collaboration. Benefits Medical and dental insurance for you and your family. Stock options. Catered lunches and dinners. Military grade snacking. 20 vacation days. Plus sickness and bereavement days for when life happens. Parental leave. All the gadgetry you need, including a new phone every year. Badassery budget to level up. Special time to join Because we're small, there's a lot of energy. And because we have tremendous traction, your first commit touches millions. This combination is rare and quite satisfying.","https://www.glassdoor.sg/job-listing/software-engineer-frontend-backend-fullstack-padlet-JV_IC3235921_KO0,44_KE45,51.htm?jl=1008396171918&cs=1_0936425e&s=58&t=SR&pos=124&src=GD_JOB_AD&guid=0000019be4a3e4a19f6989110bb4d9e6&jobListingId=1008396171918&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfia7p7niv91800-401a1bd2ebfaad20&cb=1769067505223&ctt=1769067552633"
Software Engineer Intern- GPS,PayPal,Singapore,$200K - $700K (Employer provided),3.6,"The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy. We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers. We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade. Our beliefs are the foundation for how we conduct business every day. We live each day guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Together, our values ensure that we work together as one global team with our customers at the center of everything we do – and they push us to ensure we take care of ourselves, each other, and our communities. Job Description Summary: The ""Growth Markets Engineering Team"" is responsible for developing and rolling out new products for PayPal's customer base in markets seeing high commerce growth across the world such as Mexico, Brazil, Japan and India. Our charter is to double down and drive the next wave of growth for PayPal's consumer and merchant bases globally, to propel new user acquisition, provide platform expansion through ubiquity, bring in new revenue through partnerships and to contribute actively to our organization's mission of democratizing financial services. Engineers in this team would be involved in building new payments platform and experiences for PayPal's hyper growth markets, that would redefine how customers of PayPal pay and get paid. Job Description: A customer focused, hands-on engineer, responsible for designing, implementing and delivering state of the art payments solutions for Growth markets of PayPal. The ideal candidate is an individual with experience building software systems by engaging across the full software lifecycle, from system design and development of system backend components. Business acumen, hands-on technology skills, positive work ethic and a collaborative mindset are key to the success of this role. The prospective candidate will be an individual contributor working with various cross functional groups (product teams, lead engineers and various engineering teams) and will require admirable collaboration skills. The role would involve building new and emerging payments platforms and experiences for PayPal's hyper growth markets, that would redefine how customers of PayPal pay and get paid. Key Responsibilities: Demonstrate a customer centric mindset as part of day-day work. Ensure that the implementation adheres to defined specs and processes. Own end-to-end quality of deliverables during all phases of the software development lifecycle. Work with managers, leads and peers to come up with implementation options Ability to function effectively in a fast-paced environment and manage continuously changing business needs Strong programming skills and expertise in Java/J2EE, Spring and Hibernate Experience with REST API's, Web Services, Unit Testing and build tools. Good understanding and hands on experience with databases such as MySQL/ Oracle etc. Strong understanding of web-based programming languages Rich object-oriented design and analysis skills Personal Traits Be a quick learner undaunted by new and complex systems. Take risks and thrive in an environment of constant change. Exposure and participation in tech events, hackathons, contributions to open source, authoring of blogs and active participation in online tech forums is a plus. Requirements: This is a 6 months full-time internship from 18 May - 20 Nov 2026 globaluniversityinternsoftwareengineering Additional_Responsibilities_And_Preferred_Qualifications: Computer science or related field of study PayPal does not charge candidates any fees for courses, applications, resume reviews, interviews, background checks, or onboarding. Any such request is a red flag and likely part of a scam. To learn more about how to identify and avoid recruitment fraud please visit https://careers.pypl.com/contact-us. For the majority of employees, PayPal's balanced hybrid work model offers 3 days in the office for effective in-person collaboration and 2 days at your choice of either the PayPal office or your home workspace, ensuring that you equally have the benefits and conveniences of both locations. Our Benefits: At PayPal, we're committed to building an equitable and inclusive global economy. And we can't do this without our most important asset-you. That's why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you. We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com Who We Are: To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx Commitment to Diversity and Inclusion PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com. Belonging at PayPal: Our employees are central to advancing our mission, and we strive to create an environment where everyone can do their best work with a sense of purpose and belonging. Belonging at PayPal means creating a workplace with a sense of acceptance and security where all employees feel included and valued. We are proud to have a diverse workforce reflective of the merchants, consumers, and communities that we serve, and we continue to take tangible actions to cultivate inclusivity and belonging at PayPal. Any general requests for consideration of your skills, please Join our Talent Community. We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don't hesitate to apply.","https://www.glassdoor.sg/job-listing/software-engineer-intern-gps-paypal-JV_IC3235921_KO0,28_KE29,35.htm?jl=1009959944978&cs=1_cda0fcbe&s=58&t=SR&pos=103&src=GD_JOB_AD&guid=0000019bd4937c4e89a29903d379abb0&jobListingId=1009959944978&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfa96v4vjisu800-8b9f82bac7737eb7&cb=1768797994385&ctt=1769066822553"
Software Engineer Intern - Backend (Jan - Jun 2026),ShopBack,Singapore,$200K - $700K (Employer provided),3.5,"Our Journey ShopBack began in 2014 as a late-night spark of inspiration between Henry and Joel — not just to build a Cashback platform, but to reimagine how brands and consumers connect. As former advertisers, they understood the limitations of traditional marketing, and saw an opportunity to deliver more value on both sides. That idea quickly turned into action, and the first prototype was built over a weekend with the other co-founders. Today, ShopBack serves over 50 million users across 13 markets, partners with 20,000+ merchants, and powers over half a million transactions daily. We're building The World's Most Rewarding Way to Shop — and looking for bold, driven individuals to join us. At ShopBack, our engineering teams build scalable platforms and utilize leading-edge technologies to build a world-class product. You will join a diverse and talented team of aspiring engineers with great ambitions to impact the eCommerce landscape. We are seeking team members who strive to solve the hard problems, take pride in delivering world-class products, and are strong team players. You are someone who wants to see the impact of your work making a difference every day. You find passion in the craft and are constantly seeking improvement and better ways to solve tough problems. We are currently accepting credit-bearing internship applications for H1 2026 (Dec 2025/Jan 2026 to May/June 2026). Your Adventure Ahead Contribute to the ideation, technical design, implementation, and testing of product features Produce high quality software following good architecture and design principles that are scalable Design & deliver thoughtfully crafted REST APIs to drive the interactions between our client applications and backend services Collaborate with product, data and design to define the future of the ShopBack experience Essentials to Succeed Computer Science or related major Constantly curious, always looking to learn new technologies Strong analytical, problem-solving, communication and decision-making skills Excellent communication ability and desire to thrive in a high-growth startup environment. Applicants from all varsities are welcome to apply, including University, Polytechnic, and ITE Minimum commitment period of 6 months, full-time ShopBackers' DNA Grit - We tackle all challenges head-on, working together to solve problems and achieve success. Hunger - We value hard work, and having relentless drive. Speed - We move fast and have a bias for action, all to deliver maximum impact. Impact - We focus on results, always aiming for the best possible outcomes and timelines. Growth - We embrace a growth mindset, constantly striving to learn, improve, and excel in our roles. Exclusively for ShopBackers Career progression paths and opportunities to take on greater challenges that help you realise your ambitions. Be part of a winning team on a journey to global scale. Competitive compensation based on your performance. Candid, open, and collaborative culture where feedback is valued, for everyone to grow and improve every day. ShopBack is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. We do not discriminate on the basis of race, color, religion, sexual orientation, national origin, age, disability, genetic information, veteran status, or any other protected status under applicable laws. Join our team and help us make a difference! We are committed to protecting your data and ensuring fairness in our recruitment process. We may use automated tools, including AI, to help our team screen applications, match candidates to roles, generate interview notes, and review assessments. These tools assist our recruiters and interviewers and they do not make final hiring decisions. If an assessment is part of your process, we may (with your consent) capture screen activity and/or webcam images during the test to help verify test integrity. We do not use AI to infer your emotions or sensitive traits. We process personal data lawfully, securely, and transparently in line with applicable data-protection laws and our commitment to fair employment. You can ask questions or exercise your rights including to request human review or to challenge an outcome by contacting dpo@shopback.com. We may use artificial intelligence (AI) tools to support parts of the hiring process, such as reviewing applications, analyzing resumes, or assessing responses. These tools assist our recruitment team but do not replace human judgment. Final hiring decisions are ultimately made by humans. If you would like more information about how your data is processed, please contact us.","https://www.glassdoor.sg/job-listing/software-engineer-intern-backend-jan-jun-2026-shopback-JV_IC3235921_KO0,45_KE46,54.htm?jl=1009848931060&cs=1_a23ab331&s=58&t=SR&pos=104&src=GD_JOB_AD&guid=0000019bd4937c4e89a29903d379abb0&jobListingId=1009848931060&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfa96v4vjisu800-a333663e1b906c97&cb=1768797994386&ctt=1769067199681"
Software Engineer Intern,Seagate Technology,Singapore,$200K - $700K (Employer provided),3.7,"About our group: We are a team of experienced IT MES (Manufacturing Execution System) business analysts and developers based in Woodlands. We focus on both business and IT initiatives to support and improve the operational and functional efficiency of the Global MES Tracking System, deployed at regional sites in Singapore, Malaysia, US, Thailand and China. Our key focus is to rearchitecture one of the existing Machine Learning Model to align with latest technology stack and help with productionalizing it by integrating with Factory Systems. We work closely with IT team who help in the Factory Integration of various systems along with mentors and stakeholders, to deliver a system that enhances overall business operations. About the role - you will: Re-architecture the existing system to improve efficiency, scalability, and functionality Understanding business requirements and translating them into technical solutions Redesigning and developing new features in line to align with technical requirements Integrating database solutions (Oracle) for seamless data management Testing and troubleshooting to ensure system reliability, performance, and usability Managing the project by handling multiple tasks, collaborating with mentors and stakeholders, and ensuring timelines are met About you: Highly independent and able to work with minimal supervision Adaptable to changes and responsive to evolving project needs Strong communication and interpersonal skills for effective collaboration Passionate and committed to delivering quality work Proactive and self-motivated with a problem-solving mindset Your experience includes: Pursuing a degree in Computer Science, Software Engineering, or a related field Proficiency in Python(is a must), Machine Learning & data science is added advantage Knowledge of database systems, preferably Oracle, Bigdata Hadoop system Familiarity with software development methodologies (SAFe methodology is a plus) Problem-solving and troubleshooting skills with a keen attention to detail Location: Our Woodlands site is one of the largest electronics manufacturing sites in Singapore, housing our recording media operations. Spread over three sites, it is easily accessible via bus or from the MRT Station, with many employees taking mass transportation to work. Here at work, you can enjoy breakfast, lunch, dinner, and snacks at our onsite canteen and coffee shop. We offer a range of facilities including an in-house gym and dance studio, as well as after-work badminton and table tennis competitions. On-site celebrations and community volunteer opportunities also abound. Location: Woodlands, Singapore, W2 Travel: None","https://www.glassdoor.sg/job-listing/software-engineer-intern-seagate-technology-JV_IC3235921_KO0,24_KE25,43.htm?jl=1009982805342&cs=1_018cf69a&s=58&t=SR&pos=105&src=GD_JOB_AD&guid=0000019bd4937c4e89a29903d379abb0&jobListingId=1009982805342&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfa96v4vjisu800-428b9fe15b787974&cb=1768797994386&ctt=1769067290856"
Full-Stack Software Engineer Intern,Venti Technologies,Singapore,$83K - $149K (Glassdoor Est.),3.6,"A world empowered by autonomy. We build robotic vehicles to improve logistics safety, forge a greener Earth, and enhance human lives. We are a closely-knit team aspiring to change the world through disruptive technology. We are innovators. We are tinkerers. We are problem-solvers. And we have a fair amount of magic dust up our sleeves. We have a plan for fleet-level deployment of autonomous vehicles, and we are looking for the best-of-the-best to join us in making this a reality. About Venti Technologies Based in the U.S. and Asia, Venti Technologies is the leader in safe-speed autonomous logistics systems, developing the future of goods transportation. Using rigorous mathematics, deep learning, and theoretically-grounded algorithms, Venti has a proprietary collection of autonomy technologies including a suite of powerful logistics algorithms. Venti's proven value proposition of saving costs, increasing vehicle utilization, and improving safety is recognized by customers and driving growth. Launched in 2018, Venti brings together an unsurpassed team internationally. The company has autonomous systems deployed in Asia for industrial and logistics sites and a growing pipeline. Venti has offices in Cambridge (Massachusetts, USA), Suzhou (China), and Singapore – our Asian headquarters. Role responsibilities Be part of the team to implement off-board services to support autonomous vehicle operations, including remote operations, command center, fleet management as a service. Working on both backend frontend implementation and service infrastructure management. Interact with UI/UX designer to implement the most intuitive web applications for developers, operators, and customers. Provide common client SDK for all service backend services. Required Experience Students studying in Bachelors in Computer Science, Robotics, or related fields Familiarity with frontend/backend service implementation Ability to adapt and operate under ambiguity Experience with Python, Typescript, ReactJS Experience with basic deployment setup with container Flexible problem-solver Bonus experience Experience with ROS or other similar middleware Experience with data structures, object-oriented programming Experience with real world robotics deployment Experience in data-analysis Experience in infra a code, Ansible, Terraform etc. We are looking for students with ability to commit to 4-6 months internship with us! We also offer world-class benefits, fantastic culture, flexible working arrangements, and a great international working environment. Come and join us! Come change the world!","https://www.glassdoor.sg/job-listing/full-stack-software-engineer-intern-venti-technologies-JV_IC3235921_KO0,35_KE36,54.htm?jl=1009218853892&cs=1_7b11137a&s=58&t=SR&pos=107&src=GD_JOB_AD&guid=0000019bd4937c4e89a29903d379abb0&jobListingId=1009218853892&ao=1136043&vt=w&jrtk=5-pdx1-0-1jfa96v4vjisu800-7a25d1bedc9a6314&cb=1768797994386&ctt=1769067332526"
